,shapeGroup,shapeName,Precipitation,Temperature,Viirs_Average,Viirs_Cloud_Coverage_Count,Viirs_Cloud_Coverage_Sum,PM2.5AirPollution,OzoneAirPollution,Population,supprimer,Year
11,CPV,Santa Catarina do Fogo,,,0.0636995195374,737.329956055,729.109985352,41.5351980889,42.4937932261,23273.5546875,186.290008545,2012
12,CPV,São Filipe,,,0.0734414770176,1150.01000977,1140.23999023,42.5475595103,42.4487651845,6993.64013672,290.0,2012
13,CPV,São Miguel,61.93333333333333,21.225,0.0635376621026,380.179992676,373.229980469,38.1578233051,43.4500198364,6875.16699219,96.7299957275,2012
14,CPV,Tarrafal,61.93333333333334,21.225,0.0624590227085,592.16003418,581.690002441,42.1964930421,43.4890002638,27846.515625,150.439987183,2012
15,CPV,Santa Catarina,61.93333333333333,21.225,0.0961407104512,1175.97998047,1161.98999023,40.5395688733,43.3694691583,45711.1523438,297.200012207,2012
16,CPV,Santa Cruz,61.93333333333333,21.225,0.117635120208,545.270019531,537.08001709,46.9882722658,43.3911460503,9057.94140625,138.38999939,2012
17,CPV,São Salvador do Mundo,61.93333333333333,21.225,0.131922303235,126.840003967,123.709991455,39.2025414345,43.3803060078,25364.1601562,32.4500007629,2012
18,CPV,São Lourenço dos Órgãos,61.93333333333334,21.225,0.149963028442,189.209991455,185.329986572,45.3920110845,43.3629570198,118057.757812,48.2600021362,2012
19,CPV,São Domingos,61.93333333333333,21.225,0.0667870160481,718.060058594,706.83001709,45.7359825275,43.3414368162,14600.9804688,182.059997559,2012
20,CPV,Praia,,,3.23854600151,489.469970703,482.66998291,35.5924270757,43.2700080872,14367.8486328,124.020004272,2012
21,CPV,Ribeira Grande de Santiago,61.93333333333333,21.225,0.065390753712,703.540039062,694.140014648,39.0836796017,43.2734433378,11464.3300781,178.119995117,2012
0,NER,Tahoua/Agadez,9.80514652527,28.442255711,0.000885955836445,3576724.34024,3576171.26466,47.4742721096,47.6885001168,3970408.2748,894316.586426,2013
1,NER,Dossa,49.513496357,29.7052189959,0.00268531953554,153317.480774,153183.13916,32.9201808422,51.2821929798,2136577.33594,38362.9892578,2013
2,NER,Niamey,48.6925307859,29.9971242994,2.74355215715,2285.75976562,2272.5300293,31.6196600688,51.1521702062,981467.6875,574.760009766,2013
3,NER,Tillaberi,43.077332857,30.059626661,0.00147741255146,438911.772186,438658.40625,31.9950359554,49.4532487348,2878252.71576,109791.139755,2013
4,NER,Maradi,42.2052718837,29.25087127,0.00459307240283,190083.78787,189949.901815,40.6522649998,53.4658209855,3514669.8125,47554.6605225,2013
5,NER,Zinder/Diffa,23.342657157,28.8656950449,0.0110881465146,1426540.61473,1426156.47429,53.9843826434,52.0489105375,4329002.60128,356728.593674,2013
0,MLI,Bamako,110.426041643,27.6416666713,9.68978141813,1188.15002441,1177.75,26.9419418929,50.6303785601,2194995.25,299.58001709,2013
1,MLI,Gao,21.884776104,30.225025056,5.01521953801e-05,872343.574287,872072.258995,38.0775823169,46.9067411472,651334.01619,218151.976103,2013
2,MLI,Kayes,85.3450756546,29.0733563684,0.00550453991835,590723.906067,590415.349152,39.3667326518,47.6402122994,2300263.50146,147429.001541,2013
3,MLI,Kidal,6.31003841919,29.2209040294,0.000247480284817,744464.852406,744184.012672,54.3126444899,47.7549392714,86331.0948486,186188.27124,2013
4,MLI,Koulikouro,84.9097773243,28.4830524693,0.00986274210978,435992.194809,435670.566193,36.4503527355,49.0159951903,2997880.875,109068.57489,2013
5,MLI,Mopti,46.1247977636,29.0575885915,0.00224461224044,383182.400848,382935.066254,42.468970579,47.7134232217,2312211.71094,95817.2055664,2013
6,MLI,Segou,61.3853199433,28.7024742664,0.0053354190055,298759.081207,298542.653,34.6419151929,48.736710083,2670931.57812,74742.4912109,2013
7,MLI,Sikasso,109.792759973,27.6847190963,0.00798071771123,342550.523868,342236.320195,26.4602306874,54.5556272537,3085271.75,85509.9804688,2013
8,MLI,Tombouctou,8.96416052906,28.7073432659,3.83634347146e-06,2486311.79001,2485819.48661,106.933560451,47.3466990601,799471.874832,621682.012207,2013
0,NGA,Sokoto,50.843320233,29.2984465007,0.024836139437,149187.070007,149014.309692,37.3065528878,52.5280775398,4603360.9375,37295.7321777,2013
1,NGA,Gombe,64.7714804453,27.5320493867,0.0569484700397,79216.0458984,79122.4003906,34.7205774894,57.6189995362,2699768.25,19716.21875,2013
2,NGA,Adamawa,80.184724553,26.9837089112,0.00714788474136,189531.439209,189345.793457,29.9278955675,63.4637338915,4206863.0,47373.6401367,2013
3,NGA,Zamfara,69.2057801845,28.0526833677,0.0144604885838,164158.659576,163997.339447,33.9820961579,54.7687212276,4074248.54443,41078.9839401,2013
4,NGA,Yobe,47.6903148465,28.0998986294,0.00451281218473,219176.711444,219000.134273,47.6777148574,56.200219655,2996522.95312,54821.449707,2013
5,NGA,Borno,50.2987487653,28.3259065813,0.00534428566966,345107.815552,344886.331787,41.2075077253,55.0525111606,5384869.5,86305.8769531,2013
6,NGA,Akwa Ibom,208.007198167,26.4978611966,0.504395612023,32265.0817871,32208.9008789,18.9621428089,68.4409456219,4945483.0,8041.05957031,2013
7,NGA,Bauchi,74.8788909571,27.0489008472,0.0163375580811,236385.909454,236158.149101,38.3141296653,57.6949647394,5814817.96875,59153.0102539,2013
8,NGA,Ogun,91.6728228426,27.2451879365,0.219549614979,78703.6812353,78560.2509718,21.538471283,77.4585540686,5232169.5,19710.5097656,2013
9,NGA,Niger,82.8192354824,27.778018593,0.0280032195896,337252.50153,336967.054863,30.7964982582,70.2248761031,4931414.22766,83771.5409384,2013
